WTeamID,LTeamID,WLoc
1284,1214,N
1104,1266,N
1130,1334,N
1181,1380,N
1196,1375,N
1203,1423,N
1211,1462,N
1228,1102,N
1231,1361,N
1261,1233,N
1285,1305,N
1397,1457,N
1401,1393,N
1417,1125,N
1449,1429,N
1454,1328,N
1455,1371,N
1112,1458,N
1133,1242,N
1137,1116,N
1163,1107,N
1206,1277,N
1207,1320,N
1246,1412,N
1272,1331,N
1301,1143,N
1314,1293,N
1322,1234,N
1326,1172,N
1338,1245,N
1400,1335,N
1437,1284,N
1452,1356,N
1130,1285,N
1181,1203,N
1196,1454,N
1211,1231,N
1261,1401,N
1417,1104,N
1449,1228,N
1455,1397,N
1133,1338,N
1163,1246,N
1206,1314,N
1207,1326,N
1272,1137,N
1400,1301,N
1437,1112,N
1452,1322,N
1261,1181,N
1272,1133,N
1400,1452,N
1417,1211,N
1163,1449,N
1196,1207,N
1206,1455,N
1437,1130,N
1261,1400,N
1417,1272,N
1196,1437,N
1206,1163,N
1196,1206,N
1417,1261,N
1196,1417,N
