WTeamID,LTeamID,WLoc
1324,1105,N
1112,1429,N
1130,1335,N
1153,1234,N
1211,1457,N
1228,1192,N
1246,1184,N
1305,1400,N
1328,1310,N
1334,1338,N
1403,1417,N
1412,1261,N
1428,1431,N
1448,1151,N
1449,1285,N
1452,1166,N
1454,1104,N
1137,1242,N
1163,1416,N
1181,1175,N
1196,1325,N
1210,1203,N
1235,1278,N
1257,1418,N
1277,1330,N
1280,1390,N
1301,1150,N
1314,1324,N
1329,1368,N
1356,1388,N
1436,1393,N
1437,1307,N
1458,1320,N
1112,1412,N
1228,1305,N
1246,1153,N
1403,1211,N
1428,1328,N
1449,1334,N
1452,1448,N
1454,1130,N
1181,1280,N
1257,1210,N
1277,1436,N
1301,1163,N
1314,1235,N
1329,1356,N
1437,1196,N
1458,1137,N
1112,1329,N
1228,1454,N
1257,1449,N
1452,1403,N
1246,1428,N
1277,1181,N
1314,1437,N
1458,1301,N
1228,1112,N
1257,1452,N
1277,1246,N
1314,1458,N
1228,1257,N
1314,1277,N
1314,1228,N
