WTeamID,LTeamID,WLoc
1115,1457,N
1124,1358,N
1139,1431,N
1140,1196,N
1242,1250,N
1243,1317,N
1246,1190,N
1293,1435,N
1307,1285,N
1320,1424,N
1325,1207,N
1330,1323,N
1388,1350,N
1397,1361,N
1437,1352,N
1448,1400,N
1449,1266,N
1143,1257,N
1165,1396,N
1181,1115,N
1210,1329,N
1211,1199,N
1268,1222,N
1277,1308,N
1281,1155,N
1326,1364,N
1338,1324,N
1345,1373,N
1393,1436,N
1401,1429,N
1452,1288,N
1458,1459,N
1462,1278,N
1124,1330,N
1139,1293,N
1243,1140,N
1246,1448,N
1320,1242,N
1388,1437,N
1397,1325,N
1449,1307,N
1165,1458,N
1181,1143,N
1277,1268,N
1326,1210,N
1345,1401,N
1393,1211,N
1452,1281,N
1462,1338,N
1139,1393,N
1243,1462,N
1246,1165,N
1452,1449,N
1124,1388,N
1181,1345,N
1277,1320,N
1397,1326,N
1139,1243,N
1452,1246,N
1181,1124,N
1277,1397,N
1139,1277,N
1181,1452,N
1181,1139,N
