WTeamID,LTeamID,WLoc
1322,1457,N
1130,1381,N
1153,1140,N
1181,1284,N
1207,1116,N
1209,1458,N
1214,1235,N
1234,1166,N
1245,1231,N
1246,1221,N
1268,1206,N
1281,1208,N
1386,1210,N
1390,1422,N
1417,1220,N
1425,1329,N
1429,1326,N
1112,1183,N
1139,1448,N
1150,1397,N
1196,1443,N
1201,1143,N
1211,1438,N
1228,1322,N
1232,1328,N
1242,1169,N
1277,1106,N
1279,1233,N
1314,1343,N
1323,1462,N
1336,1344,N
1393,1218,N
1396,1400,N
1153,1245,N
1181,1281,N
1207,1214,N
1246,1234,N
1268,1209,N
1390,1386,N
1417,1429,N
1425,1130,N
1112,1139,N
1211,1232,N
1228,1150,N
1242,1393,N
1277,1201,N
1279,1323,N
1336,1314,N
1396,1196,N
1181,1417,N
1268,1207,N
1390,1153,N
1425,1246,N
1112,1279,N
1228,1242,N
1277,1211,N
1396,1336,N
1181,1425,N
1268,1390,N
1112,1228,N
1277,1396,N
1112,1277,N
1181,1268,N
1181,1112,N
