WTeamID,LTeamID,WLoc
1291,1164,N
1181,1125,N
1242,1340,N
1243,1425,N
1266,1246,N
1277,1396,N
1323,1206,N
1338,1331,N
1345,1124,N
1390,1165,N
1401,1140,N
1417,1290,N
1424,1245,N
1450,1457,N
1452,1112,N
1458,1168,N
1462,1208,N
1116,1231,N
1139,1375,N
1172,1211,N
1207,1420,N
1257,1129,N
1272,1426,N
1274,1388,N
1280,1332,N
1314,1291,N
1328,1386,N
1360,1163,N
1373,1435,N
1397,1110,N
1400,1122,N
1437,1155,N
1443,1179,N
1242,1424,N
1277,1338,N
1390,1266,N
1417,1401,N
1450,1323,N
1452,1181,N
1458,1243,N
1462,1345,N
1172,1207,N
1257,1328,N
1272,1280,N
1314,1116,N
1397,1139,N
1400,1274,N
1437,1373,N
1443,1360,N
1257,1397,N
1314,1450,N
1417,1443,N
1462,1452,N
1172,1458,N
1242,1437,N
1272,1277,N
1400,1390,N
1314,1257,N
1417,1462,N
1242,1172,N
1272,1400,N
1242,1314,N
1272,1417,N
1242,1272,N
