WTeamID,LTeamID,WLoc
1116,1373,N
1120,1457,N
1163,1427,N
1166,1257,N
1178,1417,N
1196,1335,N
1211,1278,N
1231,1203,N
1234,1412,N
1268,1434,N
1307,1281,N
1326,1293,N
1329,1393,N
1385,1359,N
1390,1108,N
1451,1314,N
1150,1348,N
1153,1206,N
1181,1197,N
1242,1191,N
1246,1308,N
1274,1248,N
1275,1449,N
1277,1291,N
1279,1437,N
1283,1458,N
1328,1112,N
1345,1400,N
1396,1245,N
1397,1174,N
1409,1158,N
1428,1117,N
1120,1329,N
1163,1307,N
1196,1451,N
1211,1390,N
1234,1116,N
1268,1166,N
1326,1178,N
1385,1231,N
1181,1409,N
1246,1242,N
1275,1428,N
1277,1279,N
1283,1397,N
1328,1150,N
1345,1274,N
1396,1153,N
1163,1234,N
1211,1196,N
1326,1120,N
1385,1268,N
1181,1283,N
1246,1275,N
1277,1328,N
1396,1345,N
1163,1211,N
1326,1385,N
1181,1396,N
1277,1246,N
1163,1326,N
1181,1277,N
1163,1181,N
