WTeamID,LTeamID,MOV,WLoc
1112,1268,4,N
1196,1396,8,N
1112,1196,4,N
1268,1396,8,N
1116,1263,17,H
1177,1200,9,N
1277,1178,10,H
1328,1148,22,H
1393,1264,20,H
1448,1423,1,H
1102,1463,6,N
1104,1290,40,H
1131,1309,6,N
1201,1286,22,H
1234,1271,30,H
1272,1459,27,H
1281,1404,26,H
1330,1170,17,N
1359,1258,12,N
1425,1461,13,H
1104,1359,32,H
1187,1353,5,N
1234,1131,29,H
1258,1290,9,N
1271,1309,2,N
1272,1330,25,H
1277,1328,12,H
1281,1102,28,H
1301,1341,44,H
1321,1433,5,N
1363,1192,8,N
1393,1177,14,H
1404,1463,12,N
1459,1170,10,N
1132,1279,4,N
1143,1343,12,H
1186,1386,1,N
1187,1321,3,N
1201,1425,7,H
1203,1267,5,N
1253,1444,7,N
1301,1363,22,H
1332,1106,40,H
1341,1192,11,N
1433,1353,13,N
1443,1246,12,A
1120,1219,4,H
1127,1171,3,N
1135,1436,24,N
1139,1347,17,N
1143,1186,29,H
1145,1165,17,H
1148,1137,13,H
1150,1172,14,H
1158,1149,28,A
1162,1318,12,N
1174,1455,15,N
1175,1216,12,H
1179,1358,9,N
1189,1299,12,H
1196,1199,21,H
1198,1389,11,H
1208,1202,13,H
1210,1197,35,H
1214,1314,8,A
1217,1193,6,H
1218,1313,24,H
1221,1346,28,H
1224,1273,8,A
1228,1211,18,H
1229,1451,4,H
1237,1156,17,H
1243,1407,4,H
1246,1267,17,H
1253,1106,19,N
1265,1180,8,H
1269,1114,6,H
1276,1324,8,H
1301,1187,24,H
1317,1283,2,H
1319,1142,18,H
1321,1363,8,N
1323,1306,42,H
1329,1153,7,H
1332,1444,43,H
1338,1288,21,H
1344,1373,25,H
1345,1434,4,A
1349,1298,3,H
1350,1111,1,H
1353,1192,4,N
1356,1125,11,H
1361,1320,14,N
1371,1362,8,A
1383,1250,9,H
1386,1343,11,N
1395,1322,14,H
1397,1399,9,H
1403,1456,20,H
1414,1388,7,H
1427,1263,17,N
1433,1341,16,N
1435,1251,35,H
1438,1447,31,H
1443,1203,25,N
1448,1116,5,A
1452,1421,26,H
1103,1233,3,A
1112,1400,14,A
1113,1372,31,H
1139,1174,17,N
1140,1360,11,A
1148,1135,6,H
1155,1289,13,N
1159,1254,12,A
1160,1115,17,H
1180,1318,11,N
1191,1464,23,H
1206,1310,15,A
1220,1194,2,H
1234,1256,8,H
1248,1107,8,A
1258,1226,11,H
1261,1144,24,H
1265,1162,10,H
1266,1260,10,H
1268,1110,30,H
1278,1273,21,H
1280,1311,36,H
1282,1453,1,A
1284,1351,5,H
1305,1169,10,A
1308,1426,17,A
1320,1456,21,N
1329,1122,23,H
1332,1253,30,H
1334,1365,2,A
1337,1168,17,H
1339,1415,8,H
1340,1129,7,A
1359,1419,9,H
1379,1238,25,H
1385,1392,17,H
1389,1263,9,N
1390,1307,15,A
1403,1361,10,H
1406,1164,2,N
1412,1185,13,N
1418,1270,7,H
1420,1259,10,A
1423,1275,8,H
1424,1458,5,H
1427,1198,6,A
1429,1286,15,A
1436,1137,17,N
1439,1291,23,H
1444,1106,20,H
1449,1132,7,N
1455,1347,1,N
1460,1384,16,A
1462,1157,31,H
1102,1176,8,H
1116,1331,14,H
1120,1240,22,H
1130,1131,17,H
1132,1174,3,N
1139,1449,3,N
1166,1299,21,H
1173,1405,19,H
1182,1271,24,H
1211,1285,20,H
1218,1179,11,H
1227,1232,16,H
1231,1150,4,A
1247,1289,14,N
1257,1375,54,H
1266,1152,53,H
1272,1322,28,H
1274,1185,37,N
1279,1455,12,N
1326,1457,24,H
1338,1319,11,H
1358,1313,19,N
1374,1298,17,H
1393,1127,47,H
1438,1190,23,H
1448,1189,20,H
1463,1336,13,A
1111,1187,6,H
1123,1242,2,N
1125,1434,2,H
1133,1418,22,H
1155,1247,12,N
1158,1391,16,H
1163,1435,13,H
1164,1259,8,A
1181,1371,1,N
1208,1207,14,N
1214,1416,1,H
1228,1183,40,H
1235,1216,29,H
1239,1309,15,H
1261,1380,28,H
1274,1412,2,N
1275,1206,5,H
1280,1197,37,H
1307,1411,46,H
1308,1108,10,H
1310,1138,1,H
1323,1165,30,H
1329,1344,18,N
1335,1210,5,A
1356,1387,5,A
1357,1392,5,N
1362,1168,27,A
1373,1122,18,N
1378,1200,20,H
1401,1203,24,H
1409,1212,43,H
1410,1402,6,H
1417,1222,11,N
1420,1406,19,N
1422,1421,26,A
1431,1322,6,N
1461,1115,20,H
1110,1384,3,A
1119,1346,8,H
1123,1417,18,N
1126,1233,7,H
1135,1318,2,A
1143,1365,7,H
1153,1460,29,H
1161,1450,4,A
1172,1314,4,A
1175,1263,8,A
1181,1376,25,N
1185,1289,12,N
1219,1456,6,H
1221,1217,8,H
1234,1272,4,N
1242,1222,17,N
1243,1453,13,H
1247,1412,5,N
1274,1155,2,N
1276,1193,29,H
1281,1104,7,N
1301,1241,17,H
1304,1299,12,H
1320,1285,20,H
