WTeamID,LTeamID,WLoc
1373,1108,N
1104,1194,N
1112,1364,N
1181,1457,N
1231,1428,N
1242,1221,N
1245,1329,N
1246,1434,N
1281,1274,N
1323,1150,N
1326,1172,N
1332,1285,N
1390,1443,N
1409,1266,N
1423,1425,N
1448,1337,N
1461,1211,N
1143,1335,N
1153,1131,N
1163,1214,N
1166,1196,N
1208,1293,N
1228,1361,N
1268,1373,N
1280,1270,N
1301,1277,N
1328,1227,N
1338,1148,N
1356,1403,N
1400,1130,N
1417,1279,N
1458,1385,N
1462,1218,N
1112,1461,N
1181,1323,N
1231,1423,N
1242,1390,N
1245,1104,N
1246,1409,N
1281,1326,N
1332,1448,N
1163,1301,N
1228,1166,N
1268,1458,N
1328,1462,N
1338,1143,N
1356,1208,N
1400,1280,N
1417,1153,N
1231,1181,N
1245,1338,N
1281,1417,N
1328,1112,N
1163,1356,N
1242,1228,N
1268,1246,N
1332,1400,N
1231,1245,N
1328,1281,N
1242,1332,N
1268,1163,N
1231,1328,N
1268,1242,N
1268,1231,N
