WTeamID,LTeamID,WLoc
1104,1390,N
1116,1293,N
1163,1304,N
1181,1144,N
1199,1285,N
1207,1378,N
1210,1222,N
1231,1183,N
1234,1400,N
1261,1140,N
1272,1337,N
1281,1452,N
1314,1275,N
1326,1290,N
1371,1247,N
1425,1419,N
1153,1174,N
1190,1112,N
1235,1150,N
1242,1224,N
1246,1330,N
1257,1448,N
1269,1200,N
1276,1396,N
1277,1283,N
1308,1177,N
1329,1204,N
1393,1343,N
1408,1385,N
1417,1352,N
1418,1328,N
1431,1191,N
1181,1234,N
1199,1207,N
1210,1425,N
1231,1261,N
1272,1116,N
1314,1104,N
1326,1163,N
1371,1281,N
1153,1277,N
1246,1235,N
1269,1393,N
1276,1190,N
1308,1418,N
1329,1408,N
1417,1257,N
1431,1242,N
1181,1371,N
1231,1199,N
1246,1269,N
1417,1308,N
1153,1431,N
1272,1210,N
1276,1329,N
1326,1314,N
1181,1246,N
1231,1417,N
1153,1272,N
1276,1326,N
1181,1231,N
1276,1153,N
1181,1276,N
