WTeamID,LTeamID,WLoc
1347,1254,N
1382,1417,N
1393,1113,N
1411,1300,N
1104,1439,N
1138,1112,N
1181,1233,N
1196,1382,N
1211,1422,N
1222,1361,N
1242,1335,N
1246,1172,N
1260,1274,N
1276,1285,N
1326,1355,N
1348,1328,N
1371,1301,N
1397,1460,N
1403,1372,N
1437,1347,N
1120,1158,N
1139,1116,N
1153,1209,N
1155,1308,N
1199,1281,N
1243,1166,N
1267,1455,N
1277,1137,N
1305,1400,N
1314,1252,N
1345,1168,N
1393,1395,N
1401,1344,N
1420,1438,N
1452,1293,N
1462,1411,N
1181,1348,N
1211,1326,N
1242,1371,N
1246,1138,N
1260,1397,N
1276,1222,N
1403,1196,N
1437,1104,N
1155,1120,N
1199,1462,N
1243,1420,N
1305,1153,N
1345,1139,N
1393,1277,N
1401,1314,N
1452,1267,N
1199,1211,N
1243,1246,N
1260,1305,N
1276,1401,N
1181,1393,N
1242,1155,N
1403,1345,N
1437,1452,N
1260,1243,N
1276,1199,N
1242,1181,N
1437,1403,N
1276,1260,N
1437,1242,N
1437,1276,N
