WTeamID,LTeamID,WLoc
1107,1291,N
1301,1462,N
1142,1411,N
1397,1234,N
1163,1386,N
1173,1326,N
1196,1107,N
1217,1153,N
1257,1264,N
1276,1459,N
1277,1174,N
1295,1328,N
1332,1140,N
1338,1160,N
1361,1308,N
1387,1301,N
1393,1444,N
1400,1113,N
1437,1454,N
1458,1110,N
1112,1451,N
1124,1304,N
1166,1418,N
1211,1329,N
1235,1300,N
1242,1184,N
1246,1243,N
1272,1203,N
1273,1181,N
1314,1344,N
1372,1433,N
1390,1307,N
1397,1269,N
1417,1409,N
1438,1157,N
1455,1142,N
1163,1437,N
1173,1393,N
1196,1338,N
1257,1387,N
1276,1400,N
1277,1217,N
1361,1295,N
1458,1332,N
1112,1211,N
1124,1166,N
1235,1314,N
1246,1455,N
1390,1242,N
1397,1273,N
1417,1372,N
1438,1272,N
1112,1361,N
1173,1390,N
1196,1417,N
1458,1124,N
1163,1235,N
1246,1257,N
1276,1397,N
1277,1438,N
1196,1173,N
1458,1112,N
1163,1277,N
1246,1276,N
1163,1196,N
1246,1458,N
1163,1246,N
