WTeamID,LTeamID,WLoc
1214,1264,N
1279,1140,N
1173,1129,N
1352,1316,N
1112,1411,N
1116,1459,N
1139,1400,N
1153,1345,N
1207,1186,N
1209,1124,N
1246,1214,N
1301,1261,N
1314,1217,N
1323,1318,N
1326,1433,N
1412,1235,N
1417,1374,N
1428,1372,N
1437,1248,N
1462,1279,N
1173,1344,N
1181,1352,N
1211,1295,N
1234,1172,N
1242,1308,N
1257,1414,N
1268,1434,N
1277,1208,N
1320,1461,N
1328,1107,N
1332,1329,N
1361,1385,N
1438,1125,N
1452,1138,N
1455,1231,N
1458,1157,N
1112,1326,N
1246,1153,N
1301,1437,N
1314,1116,N
1323,1139,N
1417,1412,N
1428,1207,N
1462,1209,N
1181,1361,N
1211,1234,N
1257,1320,N
1277,1438,N
1328,1173,N
1452,1268,N
1455,1242,N
1458,1332,N
1112,1462,N
1246,1452,N
1323,1455,N
1458,1314,N
1181,1428,N
1211,1417,N
1257,1301,N
1277,1328,N
1246,1323,N
1458,1112,N
1181,1211,N
1277,1257,N
1181,1277,N
1458,1246,N
1181,1458,N
