WTeamID,LTeamID,WLoc
1133,1431,N
1177,1438,N
1181,1290,N
1207,1403,N
1210,1265,N
1242,1299,N
1257,1180,N
1261,1345,N
1272,1123,N
1277,1449,N
1314,1428,N
1328,1318,N
1330,1452,N
1396,1239,N
1412,1281,N
1437,1439,N
1104,1462,N
1114,1323,N
1120,1112,N
1156,1231,N
1228,1193,N
1235,1275,N
1246,1172,N
1268,1337,N
1276,1103,N
1298,1409,N
1301,1234,N
1385,1286,N
1386,1350,N
1393,1135,N
1424,1419,N
1443,1304,N
1177,1328,N
1181,1330,N
1210,1437,N
1242,1396,N
1257,1133,N
1261,1272,N
1277,1207,N
1314,1412,N
1104,1228,N
1120,1385,N
1156,1386,N
1235,1276,N
1246,1443,N
1298,1393,N
1301,1114,N
1424,1268,N
1120,1424,N
1246,1104,N
1257,1314,N
1261,1210,N
1181,1177,N
1242,1277,N
1298,1156,N
1301,1235,N
1257,1120,N
1261,1246,N
1181,1298,N
1242,1301,N
1181,1242,N
1257,1261,N
1257,1181,N
