WTeamID,LTeamID,WLoc
1112,1384,N
1140,1438,N
1163,1261,N
1166,1308,N
1181,1419,N
1199,1425,N
1231,1157,N
1234,1190,N
1242,1309,N
1301,1379,N
1329,1307,N
1338,1208,N
1350,1393,N
1371,1337,N
1396,1345,N
1462,1304,N
1104,1293,N
1113,1353,N
1116,1209,N
1185,1280,N
1207,1435,N
1210,1177,N
1277,1453,N
1314,1318,N
1326,1406,N
1336,1417,N
1385,1296,N
1400,1389,N
1424,1285,N
1428,1375,N
1437,1343,N
1448,1256,N
1112,1140,N
1163,1462,N
1181,1234,N
1231,1199,N
1242,1338,N
1329,1301,N
1371,1166,N
1396,1350,N
1104,1448,N
1116,1113,N
1185,1336,N
1314,1437,N
1326,1210,N
1385,1400,N
1424,1207,N
1428,1277,N
1116,1104,N
1242,1231,N
1371,1112,N
1424,1428,N
1181,1163,N
1314,1185,N
1385,1326,N
1396,1329,N
1242,1116,N
1424,1371,N
1181,1385,N
1314,1396,N
1181,1424,N
1242,1314,N
1181,1242,N
