WTeamID,LTeamID,WLoc
1310,1197,N
1130,1403,N
1139,1330,N
1207,1125,N
1231,1211,N
1257,1390,N
1268,1172,N
1277,1266,N
1314,1184,N
1326,1148,N
1338,1460,N
1401,1335,N
1417,1451,N
1433,1181,N
1435,1203,N
1450,1331,N
1462,1140,N
1196,1238,N
1242,1310,N
1246,1437,N
1272,1317,N
1305,1166,N
1332,1275,N
1345,1112,N
1356,1221,N
1397,1253,N
1400,1308,N
1424,1210,N
1425,1116,N
1438,1107,N
1439,1228,N
1457,1323,N
1458,1394,N
1139,1268,N
1207,1130,N
1314,1277,N
1326,1462,N
1338,1433,N
1401,1257,N
1417,1231,N
1435,1450,N
1196,1345,N
1242,1246,N
1272,1305,N
1332,1457,N
1356,1439,N
1397,1438,N
1424,1458,N
1425,1400,N
1242,1356,N
1272,1401,N
1326,1397,N
1417,1338,N
1196,1139,N
1207,1435,N
1314,1425,N
1332,1424,N
1326,1272,N
1417,1242,N
1196,1332,N
1207,1314,N
1196,1417,N
1326,1207,N
1196,1326,N
