WTeamID,LTeamID,MOV,WLoc
1197,1250,15,N
1104,1356,1,N
1163,1436,17,N
1177,1173,7,N
1181,1106,35,N
1211,1434,27,N
1264,1196,15,N
1268,1431,3,N
1305,1277,6,N
1314,1102,11,N
1371,1112,4,N
1386,1251,19,N
1390,1427,26,N
1393,1140,5,N
1400,1343,17,N
1403,1150,3,N
1448,1433,1,N
1130,1428,7,N
1153,1190,3,N
1210,1320,5,N
1228,1293,19,N
1242,1227,25,N
1246,1197,20,N
1272,1376,16,N
1280,1284,33,N
1301,1418,9,N
1329,1186,19,N
1334,1344,8,N
1338,1416,9,N
1412,1449,2,N
1435,1444,13,N
1458,1350,12,N
1462,1257,10,N
1104,1390,3,N
1163,1177,17,N
1181,1371,28,N
1305,1211,19,N
1386,1403,5,N
1393,1268,2,N
1400,1314,3,N
1448,1264,4,N
1210,1130,3,N
1228,1153,24,N
1242,1334,15,N
1329,1272,17,N
1338,1458,4,N
1412,1246,1,N
1435,1301,2,N
1462,1280,15,N
1104,1393,9,N
1163,1435,20,N
1329,1338,12,N
1386,1448,4,N
1181,1228,10,N
1210,1305,5,N
1242,1412,26,N
1462,1400,8,N
1163,1104,16,N
1329,1386,2,N
1181,1462,3,N
1210,1242,8,N
1163,1181,1,N
1210,1329,2,N
1163,1210,9,N
