WTeamID,LTeamID,WLoc
1195,1192,N
1455,1435,N
1221,1380,N
1276,1409,N
1114,1345,N
1139,1403,N
1163,1160,N
1181,1423,N
1211,1371,N
1231,1151,N
1235,1233,N
1242,1122,N
1246,1392,N
1274,1138,N
1314,1195,N
1344,1425,N
1428,1201,N
1438,1214,N
1455,1112,N
1463,1124,N
1218,1143,N
1234,1396,N
1268,1355,N
1292,1277,N
1320,1400,N
1323,1276,N
1328,1167,N
1332,1221,N
1372,1452,N
1386,1153,N
1393,1173,N
1401,1453,N
1433,1333,N
1437,1421,N
1458,1338,N
1462,1451,N
1181,1463,N
1211,1428,N
1231,1246,N
1235,1114,N
1242,1163,N
1274,1455,N
1314,1344,N
1438,1139,N
1268,1218,N
1323,1372,N
1328,1433,N
1332,1386,N
1393,1292,N
1401,1320,N
1437,1234,N
1458,1462,N
1242,1268,N
1328,1401,N
1332,1181,N
1437,1274,N
1314,1231,N
1323,1458,N
1393,1211,N
1438,1235,N
1328,1332,N
1437,1242,N
1314,1323,N
1393,1438,N
1314,1393,N
1437,1328,N
1437,1314,N
