WTeamID,LTeamID,WLoc
1112,1311,N
1116,1304,N
1150,1227,N
1153,1319,N
1163,1192,N
1228,1375,N
1229,1397,N
1231,1328,N
1268,1429,N
1277,1185,N
1314,1298,N
1343,1424,N
1350,1376,N
1428,1362,N
1449,1462,N
1452,1396,N
1178,1385,N
1181,1347,N
1199,1395,N
1242,1341,N
1246,1354,N
1276,1172,N
1307,1139,N
1329,1203,N
1345,1174,N
1348,1293,N
1387,1269,N
1390,1158,N
1393,1233,N
1417,1274,N
1434,1279,N
1444,1155,N
1112,1229,N
1163,1231,N
1268,1228,N
1277,1343,N
1314,1150,N
1428,1116,N
1449,1350,N
1452,1153,N
1181,1329,N
1246,1387,N
1345,1178,N
1348,1242,N
1390,1444,N
1393,1307,N
1417,1276,N
1434,1199,N
1112,1268,N
1163,1449,N
1314,1277,N
1428,1452,N
1181,1393,N
1246,1417,N
1348,1434,N
1390,1345,N
1314,1163,N
1428,1112,N
1246,1181,N
1390,1348,N
1246,1390,N
1428,1314,N
1246,1428,N
