WTeamID,LTeamID,WLoc
1112,1238,N
1120,1166,N
1211,1257,N
1235,1148,N
1246,1382,N
1261,1369,N
1268,1233,N
1277,1434,N
1328,1457,N
1345,1173,N
1385,1319,N
1393,1359,N
1400,1232,N
1417,1123,N
1428,1387,N
1458,1201,N
1153,1423,N
1163,1429,N
1181,1249,N
1196,1139,N
1228,1335,N
1242,1177,N
1274,1116,N
1314,1281,N
1326,1111,N
1329,1220,N
1337,1231,N
1371,1332,N
1390,1354,N
1396,1248,N
1397,1418,N
1409,1424,N
1211,1385,N
1235,1120,N
1261,1400,N
1277,1428,N
1345,1328,N
1393,1246,N
1417,1268,N
1458,1112,N
1181,1242,N
1196,1228,N
1274,1326,N
1314,1390,N
1329,1337,N
1371,1396,N
1397,1163,N
1409,1153,N
1235,1417,N
1277,1393,N
1345,1211,N
1458,1261,N
1196,1181,N
1314,1397,N
1329,1371,N
1409,1274,N
1277,1235,N
1458,1345,N
1196,1329,N
1314,1409,N
1196,1314,N
1277,1458,N
1277,1196,N
